Designator,Description,Comment,Footprint,LibRef,Part Number
,,,,,
Led 41,2V 0805 Red Led,3V3 Led,P0805,CMP-1426-00011-1,
"C21, C22",,22pF,P0402,CMP-2008-02613-1,
C23,,2.2nF,P0402,CMP-2008-02613-1,
C24,,4.7pF,P0402,CMP-2008-02613-1,
C25,,33nF,P0402,CMP-2008-02613-1,
"C27, C31, C211, C215",,220pF,P0402,CMP-2008-02613-1,
"C28, C32, C212, C216",,1nF,P0402,CMP-2008-02613-1,
"C29, C33, C213, C217",,10nF,P0402,CMP-2008-02613-1,
"C34, C210, C214, C218",F380J106MUA 0402 Low ESR 10uF Tantalum Capacitor,10uF Low ESR,P0402,CMP-2008-02613-1,F380J106MUA
C35,,0.3pF,P0402,CMP-2008-02613-1,
D41,"Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-523, Pb-Free, Tape and Reel",ESD5Z2.5T1G / UCLAMP3301H.TCT,SOD-523,CMP-1063-00103-1,ESD5Z2.5T1G / UCLAMP3301H.TCT
"D43, D44, D45, D46, D47, D48",0603 5V Bi-Dir ESD Suppressor Diode TVS 2-Pin SOD-523F T/R,CPDU5V0C-HF,P0603,CMP-004-00003-2,CPDU5V0C-HF
DCDC41,Detachable Supplier 12-USB to 5V-3V3 switching or linear V2 (Male header on Female Header),Detachable Supplier 5/3.3V horizontal V2,---,CMP-00047-7,
EMI21,"Harwin EMI Gasket 30 x 20mm, 5mm high, Nickel Silver",S01-30200500,---,CMP-00028-00000-3,S01-30200500
F41,PTC RESET FUSE 6V 500MA 0402,0402L050SLKR,P0402,CMP-005-00006-1,0402L050SLKR
"FB21, FB22, FB23, FB31","SMD EMI Suppression Ferrite Bead WE-CBF, Z = 120 Ohm",120ohm @ 100MHZ,P0402,CMP-0220-00102-1,710-74279271
LED21,2V 0805 Green Led,TX Led,P0805,CMP-1426-00009-1,
LED22,2V 0805 Green Led,RX Led,P0805,CMP-1426-00009-1,
P31,SMA Female Connector Panel Mount/SMA PCB Edge Mount,SMA,---,CMP-002-00010-5,CONSMA018-4-G / 60312242114510
P41,Conn Ejector Header HDR 14 POS 2.54mm Solder RA Side Entry Thru-Hole Tube,IDC Connector 2x7 Right Angle,---,CMP-00039-2,176160X-5
P42,1X02 Molex Right Angle Connector Header 2 Position 3 mm Solder Right Angle Thru-Hole 2 Terminal 1 Port Micro-Fit 3.0,043650-0200,---,CMP-002-00008-4,043650-0200
R21,,1M,P0402,CMP-2002-01777-1,
R22,,22k,P0402,CMP-1011-00659-2,
"R23, R24, R41",,510R,P0402,CMP-1011-00659-2,
"R31, R32",,1k,P0402,CMP-1011-00659-2,
R33,,20k,P0402,CMP-1011-00659-2,
U21,RF Transceiver GFSK 3V 20-Pin QFN EP Tray,NRF24L01P-T,---,CMP-00025-00003-5,NRF24L01P-T
U22,"JOHANSON TECHNOLOGY - 2450BM14A0002T - BALUN, 2.45GHZ, IMPEDANCE MATCHED",2450BM14A0002T,---,CMP-00025-00004-2,2450BM14A0002T
U23,Dual NMOS Mosfet N-ch 20V 100MA Usv,SSM5N16FUTE85LF,SOT-353-5,CMP-013-00000-2,SSM5N16FUTE85LF
U31,"RF Tx/Rx front-end IC, 2.4GHz Zigbee CMOS. 3x3mm 16-QFN",RFX2401C,---,CMP-00025-00001-5,RFX2401C
U32,Filter Bandpass 2.4Ghz,2450BP14D0100T,---,CMP-00025-00005-1,2450BP14D0100T
Y21,Crystal 16.0000MHZ 12PF SMD +-15PPM,16Mhz 12pF +- 15PPM,2.5x2mm,CMP-003-00006-1,EXS00A-CS05116
EMI Gasket Clips x4,EMI Gasket Clips,,,,S0981-46R
